"image_link","generated_output"
"https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x88520","Allied Center of Kansas logo: dark blue ""ALLIEDCENTER"" text over smaller ""OF KANSAS"",  with a stylized blue and white abstract graphic.
"
"https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x88520","Allied Center of Kansas logo: dark blue ""ALLIEDCENTER"" text over smaller ""OF KANSAS"",  with a stylized blue and white abstract graphic.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/Prairie-Land-Insurance-logo-wht.png","Minimalist gray logo: stylized diamond shape containing a curved line, with ""INSURANCE"" below.
"
"https://lied.ku.edu/wp-content/uploads/2017/04/School-of-Music-wht.png","Blank white image; background for Lied Center of Kansas event schedule.
"
"https://lied.ku.edu/wp-content/uploads/2021/07/SSC-logo-wht-1.png","SSC CPAs + Advisors logo: stylized ""S"" in concentric circles, ""SSC"" in sans-serif font, ""CPAs + Advisors"" below.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-logo.png","Blank white space.
"
"https://lied.ku.edu/wp-content/uploads/2022/04/Presbyterian-Manor-logo-horz-wht.png","Blank white image.
"
"https://lied.ku.edu/wp-content/uploads/2023/04/KPR-2023-white.png","Kansas Public Radio logo: ""K"" ""P"" sunflower ""R"" graphic with ""KANSAS PUBLIC RADIO"" text.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-remy-le-bouef-feature.jpg?x88520","Remy Le Boeuf, alto saxophonist, superimposed over a photo of the KU Jazz Ensemble.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-blind-boys-2025-feature2.jpg?x88520","Promotional photo:  The Blind Boys of Alabama and Shemekia Copeland. Four Black musicians, three in red blazers, one woman in a sequined skirt singing.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-jiji-guitar-feature.jpg?x88520","Young woman with long dark hair, serenely holding a classical guitar, sitting cross-legged against a pink background.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-digging-roots-feature.jpg?x88520","Portrait of Digging Roots, a musical duo: a man and woman with outstretched hands, conveying intensity.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-hadestown-feature2.jpg?x88520","Hadestown Broadway musical poster: red ""TOWN"" title on dark background; red carnation.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-feature.jpg?x88520","Two dancers, a man and woman, kneel intimately in a dimly lit performance space.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x88520","A man sits in a cafe, arms crossed, looking at the camera.
"
"https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x88520","Dark-skinned man in a jacket, seated in a cafe chair, looking at the camera.
"
"https://lied.ku.edu/wp-content/uploads/2023/06/2425-cher-show-feature.jpg?x88520","Promotional graphic for ""The Cher Show,"" a new musical, featuring three stylized portraits of Cher in a circular design.
"
