"image_link","generated_output"
"https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png","US flag: 50 stars on a blue canton, 13 alternating red and white stripes.
"
"https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png","US flag: 50 stars on a blue canton, 13 alternating red and white stripes.
"
"https://a.espncdn.com/redesign/assets/img/logos/espnplus/ESPN+.svg",""
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnhl.png&w=40&h=40","Grayscale NHL logo: stylized shield with ""NHL"" in sans-serif lettering.
"
"https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin","Grayscale soccer ball icon.
"
"https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin","Grayscale soccer ball icon.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://a3.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbaseball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Simple illustration of a white baseball with reddish-brown seams.
"
"https://a3.espncdn.com/redesign/assets/img/icons/ESPN-icon-softball.png","Simplified graphic of a yellow softball with reddish-brown seams.
"
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fufc.png&w=60&h=60&scale=crop&cquality=80&location=origin","UFC logo:  Bold black ""UFC"" in a slightly slanted sans-serif font on a red background.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://chui-assets-cdn.espn.com/94763d98-7ffb-43e9-8604-4c7a47ab2451.png","Logo for a men's basketball league: white ""tC"" with a smaller red ""MEN'S"" above and an orange basketball to the right, on a black background.
"
