"image_link","generated_output"
"https://eecs.ku.edu/sites/eecs/files/styles/21_9_placeholder_/public/images/hero/EECS%20-%20Hackathon%204.jpg?h=44ff73cc&itok=3wGibaC2","University of Kansas Logo

"
"https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/Virtual%20Reality%20Goggles.jpg?h=00c677a1&itok=NxbGVoHf","University of Pennslyvania Logo

"
"https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/Mason%20Wilde.jpg?h=00c677a1&itok=WUVazJeD","University of Kansas logo

"
"https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/ElectronicsCloseUp.JPG?h=d443d912&itok=LqEDr1DI","University of Kansas Logo

"
"https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/Overhead%20Presentation.jpg?h=00c677a1&itok=ZKiiTCQR","University of Kansas:Interdisciplinary Computing Logo

"
"https://eecs.ku.edu/sites/eecs/files/styles/7_5_placeholder_/public/images/2021/comp-eng-md.jpg?h=ac3bb7ef&itok=m-L-R1-d","University of Kansas, EECS Logo

"
"https://eecs.ku.edu/sites/eecs/files/styles/7_5_placeholder_/public/images/2021/Choi%20Lab%20Menager.jpg?h=00c677a1&itok=TnwqTM1q","University of Michigan, Choi Lab Logo

"
"https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_White.png","University of Kansas Logo

"
"https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_Blue.png","University of Kansas logo with text:The University of Kansas

"
"https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/KSDegreeStats_Logo_Std.png","University of Kansas logo

"
"https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/ks-ds-img.png","University of Kansas logo with text: WSDegrees.com

"
