image_link,generated_output
https://union.ku.edu/sites/union/files/styles/21_9_placeholder_/public/images/2024/Resized%20photos%20for%20Union%20Website%20-%20HEADErS%20.png?h=44ff73cc&itok=1_747mK9,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/DSC_6028.jpg?h=a1e1a043&itok=e6WjvOhE,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/%20springtulips_kumu_12_S24.jpg?h=a1e1a043&itok=UleXyfSJ,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%282%29.png?h=54e63a21&itok=iuznr4s6,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%283%29.png?h=54e63a21&itok=R8BkMvPv,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%284%29.png?h=54e63a21&itok=wfGIjsdh,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%285%29.png?h=54e63a21&itok=Gk-lZQnZ,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%287%29.png?h=54e63a21&itok=il2lYhEC,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%286%29.png?h=54e63a21&itok=3naV6hmx,
https://news-archive-assets.ku.edu/data/ce/a0/01j5bsaw6a6fka1dgznqz7qa37.jpg,There are many people posing for a picture on the stage.
https://news-archive-assets.ku.edu/data/98/31/01j5bsaxdbxwdpd70r1dh1k6j4.png,There are many people that are sitting in a room together.
https://news-archive-assets.ku.edu/data/8c/14/01j5bsaw3bgk3yn32f891zr9qx.png,The KU Memorial Union has a flyer for the arts and crafts fair.
https://news-archive-assets.ku.edu/data/9a/f0/01j5bsaw0dv393s654hgxmep93.png,The person is standing in line to buy a handbag.
https://localist-images.azureedge.net/photos/48509194009474/square_300/d46e00bf8380b48f277cc056f3fe6f027c6e6c26.jpg,
https://localist-images.azureedge.net/photos/47288327677676/square_300/78434bebd5865f37e3af51ef9e9f84e4a2652792.jpg,
https://localist-images.azureedge.net/photos/48685638164928/square_300/3c6684d2e2d2a985b4b9075aca6ca70d79aeb1bd.jpg,
https://localist-images.azureedge.net/photos/48666543093872/square_300/a42e11b8bb02d40bf7d50ff1dbcaad0c7bf8b6e2.jpg,
https://localist-images.azureedge.net/photos/48525754897796/square_300/daca4a9e2604f7f08930132db7ad92f70051ef5c.jpg,
https://localist-images.azureedge.net/photos/48509334082507/square_300/2c224d474b94c7271ee2baba3df19fec5d313c34.jpg,
https://d3e1o4bcbhmj8g.cloudfront.net/assets/platforms/default/about/widget_footer.png,The KU Center for Eurasian Studies is located in the dark and has a dark bench.
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_White.png,"The University of Kansas, Lawrence, Kansas, is the location of the Jayhawk Bookstore."
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_Blue.png,"The University of Kansas is located in Lawrence, Kansas."
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/KSDegreeStats_Logo_Std.png,There is a picture of a man that is playing a game of tennis at the University of Kansas.
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/ks-ds-img.png,The logo for the University of Kansas is KU.
