image_link,generated_output
https://ku.edu/sites/ku_new_homepage/files/styles/21_9_placeholder_/public/images/2025/KU-Fraser-sunrise.jpg?h=fbf30ffd&itok=WnAxN8TY,
https://ku.edu/sites/ku_new_homepage/files/styles/16_9_placeholder_/public/images/2024/KU-Cancer-center-research-patents.png?h=d1cb525d&itok=LooayfnN,
https://ku.edu/sites/ku_new_homepage/files/styles/1_1_placeholder_/public/images/2024/KU-architecture-Studio-804-project-housing.jpg?h=96407a94&itok=q5LayLET,
https://ku.edu/sites/ku_new_homepage/files/styles/1_1_placeholder_/public/images/2024/KU-kansas-wildflowers-monarch-butterfly.jpg?h=438bed3a&itok=YH1bQ8Ys,
https://ku.edu/sites/ku_new_homepage/files/styles/1_1_placeholder_/public/images/2024/KU-Engineering-NSF-ERC-EARTH-Launch.jpg?h=d6367488&itok=drkLTgMJ,
https://ku.edu/sites/ku_new_homepage/files/styles/7_5_placeholder_/public/images/2024/KU-Dirt-works-solar.png?h=8621808d&itok=Et4f_PRu,
https://ku.edu/sites/ku_new_homepage/files/styles/7_5_placeholder_/public/images/2024/KU-Honors-Concrete-canoe.png?h=8621808d&itok=cakD8x4Z,
https://ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_White.png,The man is a member of the University of Kansas Jayhawks.
https://ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_Blue.png,The University of Kansas logo is a strong and colorful representation of the University of Kansas.
https://ku.edu/libraries/ku-web-styleguide/images/logos/KSDegreeStats_Logo_Std.png,There is a picture of a man that is playing a game of tennis at the University of Kansas.
https://ku.edu/libraries/ku-web-styleguide/images/logos/ks-ds-img.png,The logo for the University of Kansas is KU.
