"image_link","generated_output"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2195569236-20250411210100914.jpg?c=16x9&q=h_720,w_1280,c_fill","ICE officer in tactical gear walking down a snowy residential street.
"
"https://media.cnn.com/api/v1/images/stellar/prod/still-21534533-5277489-365999999-still.jpg?c=16x9&q=h_270,w_480,c_fill","Collage of women in diverse uniformed professions: pilot, law enforcement, border patrol, military.  Strong, professional women in action.
"
"https://media.cnn.com/api/v1/images/stellar/prod/khalil-lawyer-thumb-1.jpg?c=16x9&q=h_270,w_480,c_fill","Head-and-shoulders shot of Khalil, a lawyer, in a dark blue suit and tie, participating in a video call.
"
"https://media.cnn.com/api/v1/images/stellar/prod/16x9-thumb-20250411144440245.jpg?c=16x9&q=h_270,w_480,c_fill","Group of people, appearing tense, outside a brick house on an overcast day.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2172411879.jpg?c=16x9&q=h_720,w_1280,c_fill","Close-up: Hand in black blazer picks up a dark grey iPhone 16 from a display at an Apple Store.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209793046.jpg?c=16x9&q=h_438,w_780,c_fill","Golfer Nick Dunlap in mid-swing, focused expression,  navy shirt and white hat.
"
"https://media.cnn.com/api/v1/images/stellar/prod/photo-2025-04-01-08-19-39.jpg?c=16x9&q=h_144,w_256,c_fill","Four adults toast with wine glasses at a restaurant table.
"
"https://media.cnn.com/api/v1/images/stellar/prod/lisa-asher-levine-villain-4.jpg?c=16x9&q=h_144,w_256,c_fill","Singer in silver bodysuit performs on stage with backup dancers in dark costumes; dramatic lighting and background.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2203925097.jpg?c=16x9&q=h_438,w_780,c_fill","Candles & photos of young men adorn a church altar; a nun walks past during a memorial mass for victims of the Philippines' drug war.
"
"https://media.cnn.com/api/v1/images/stellar/prod/c-gettyimages-2175049832.jpg?c=16x9&q=h_720,w_1280,c_fill","Blurred close-up of the FEMA logo; background shows people silhouetted at illuminated screens displaying FEMA information.
"
"https://media.cnn.com/api/v1/images/stellar/prod/9-02.jpg?c=16x9&q=h_720,w_1280,c_fill","Close-up of Cathay Pacific's Aria Suite first-class seat: beige upholstery, large entertainment screen, wood and marble accents, twilight view from window.
"
"https://media.cnn.com/api/v1/images/stellar/prod/111790-scientistscreatedirewolf-thumb-clean.png?c=16x9&q=h_144,w_256,c_fill","Man gently cradling two tiny white puppies; a heartwarming scene.
"
"https://media.cnn.com/api/v1/images/stellar/prod/230119115206-on-the-phone-in-dark-room-stock.jpg?c=16x9&q=h_144,w_256,c_fill","Silhouetted woman sits on a hardwood floor, holding a phone near a window in a dimly lit room.
"
"https://media.cnn.com/api/v1/images/stellar/prod/240205092443-ai-suleyman.jpg?c=16x9&q=h_144,w_256,c_fill","Headshot of Babak Payami, Iranian-American filmmaker and writer.
"
"https://media.cnn.com/api/v1/images/stellar/prod/20250410-news-quiz-split-0410.jpg?c=16x9&q=h_438,w_780,c_fill","Collage of four photos: basketball game, concert, botanical garden, and hockey players celebrating.
"
"https://media.cnn.com/api/v1/images/stellar/prod/cnn-games-card-puzzle.jpg?c=16x9&q=h_144,w_256,c_fill","Abstract logo: two overlapping white squares with rounded corners on a teal background, suggesting image merging or comparison.
"
"https://media.cnn.com/api/v1/images/stellar/prod/cnn-games-card-sudoku.jpg?c=16x9&q=h_144,w_256,c_fill","Simple 4x4 grid with randomly shaded squares, suggesting a data visualization or puzzle element.
"
"https://media.cnn.com/api/v1/images/stellar/prod/170403163044-tiger-woods-career-gallery-7.jpg?q=x_333,y_220,h_1372,w_2439,c_crop/h_438,w_780","Tiger Woods and his caddie celebrate a golf victory; Woods in red shirt, caddie in white jumpsuit.
"
"https://media.cnn.com/api/v1/images/stellar/prod/fig2.jpg?c=16x9&q=h_438,w_780,c_fill","Low-tide coastal scene: sandy beach, rocky intertidal zone with dark, possibly wooden, remnants, and a dark headland.
"
"https://media.cnn.com/api/v1/images/stellar/prod/111756-booksigningtiktok-thumbnail.jpg?c=16x9&q=h_438,w_780,c_fill","Diptych: Author signing books with a girl in a bookstore (left); author with family in a TV studio (right).
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1463159006.jpg?c=16x9&q=h_438,w_780,c_fill","Full Snow micromoon rising behind silhouetted tree branches; dusky purple sky.
"
"https://media.cnn.com/api/v1/images/stellar/prod/shutterstock-editorial-14513502ag.jpg?c=16x9&q=h_438,w_780,c_fill","Colorful Nyhavn canal in Copenhagen, Denmark, with boats, tourists, and historic buildings.
"
"https://media.cnn.com/api/v1/images/stellar/prod/07-gettyimages-1244828237.jpg?c=16x9&q=h_144,w_256,c_fill","Construction site: worker observing near metal building frame, heavy machinery, and shipping containers under sunny skies.
"
"https://media.cnn.com/api/v1/images/stellar/prod/house-1-480.jpg?c=16x9&q=h_144,w_256,c_fill","Demolished wood-frame home in Mandalay after an earthquake; debris and a partially visible person are seen amidst the wreckage.
"
"https://media.cnn.com/api/v1/images/stellar/prod/frigidaire-window-ac-in-window-cnnu.jpg?c=16x9&q=h_438,w_780,c_fill","Close-up of a Frigidaire window air conditioner installed in a window, showing its digital display set to 70 degrees.
"
"https://media.cnn.com/api/v1/images/stellar/prod/emily-new-balance-sneakers.jpg?c=16x9&q=h_438,w_780,c_fill","Off-white New Balance 327 sneakers with navy blue logos on a light gray tiled floor.
"
"https://media.cnn.com/api/v1/images/stellar/prod/230322142850-best-flashlights-drath.jpg?c=16x9&q=h_438,w_780,c_fill","Nighttime park scene: A person holding a flashlight illuminates a dirt path near a tree and picnic table.
"
"https://media.cnn.com/api/v1/images/stellar/prod/dry-brook-sugar-house.jpg?c=16x9&q=h_438,w_780,c_fill","Rustic Dry Brook Sugar House in Salem, NY, with three chimneys and red doors, set against a cloudy sky.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2203674917.jpg?c=16x9&q=h_438,w_780,c_fill","Lady Gaga in a beaded gown performs on a retro-style SNL stage.
"
"https://media.cnn.com/api/v1/images/stellar/prod/20190801-1809-1813-j01-viirs-dnb-milkysea-java-false-color.jpg?c=16x9&q=h_438,w_780,c_fill","Abstract satellite image: teal water, off-white land, dark mountains, granular texture.  Stylized rendering, possibly representing Java.
"
"https://media.cnn.com/api/v1/images/stellar/prod/1chance-encounters-jenny-and-jason.jpg?c=16x9&q=h_438,w_780,c_fill","Portrait of a light-skinned couple, Jenny and Jason, outdoors in a garden.
"
"https://media.cnn.com/api/v1/images/stellar/prod/2025-02-28t195319z-202845630-rc2v3danfysz-rtrmadp-3-fashion-milan-versace.jpg?c=16x9&q=h_438,w_780,c_fill","Model showcasing a dramatic Versace Fall/Winter 2025/2026 gown on a Milan Fashion Week runway.
"
"https://media.cnn.com/api/v1/images/stellar/prod/swimming-03.jpg?c=16x9&q=h_438,w_780,c_fill","Two women swim playfully in an indoor pool. One wears a red shirt; the other, a purple cap and goggles.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2206765991.jpg?c=16x9&q=h_438,w_780,c_fill","Four people, including two in US military uniforms, converse outdoors in a snowy Greenland landscape.  A civilian is also present.
"
"https://media.cnn.com/api/v1/images/stellar/prod/ap23009002266607-20250412132007986.jpg?c=16x9&q=h_438,w_780,c_fill","Students with backpacks walk toward a clock tower on a sunny college campus.
"
"https://media.cnn.com/api/v1/images/stellar/prod/2025-04-06t120422z-1274830404-rc29sdanrq2a-rtrmadp-3-israel-palestinians-gaza.JPG?c=16x9&q=h_438,w_780,c_fill","High-angle view of a crowded refugee camp in Khan Younis, Gaza, showing children sitting amidst numerous tents.
"
"https://media.cnn.com/api/v1/images/stellar/prod/111790-scientistscreatedirewolf-thumb-clean.png?c=16x9&q=h_438,w_780,c_fill","Close-up of hands gently holding two tiny, yipping white puppies.
"
"https://media.cnn.com/api/v1/images/stellar/bleacherreport/2209075868-large-cropped.jpg?c=16x9&q=h_438,w_780,c_fill","Golfer in mid-swing, wearing a Morgan Stanley cap, focused on his shot.
"
"https://media.cnn.com/api/v1/images/stellar/prod/111756-booksigningtiktok-thumbnail.jpg?c=16x9&q=h_270,w_480,c_fill","Diptych: Left, author signing books for a girl in a bookstore; right, family portrait in a news studio.
"
"https://media.cnn.com/api/v1/images/stellar/prod/111823-aiattorneyincourt-thumbnail.jpg?c=16x9&q=h_270,w_480,c_fill","New York Supreme Court Appellate Division courtroom: Judges in robes at a long table, attendees, & a remote participant visible on a screen.
"
"https://media.cnn.com/api/v1/images/stellar/prod/bow3-mp4-00-00-04-01-still001.jpg?c=16x9&q=h_270,w_480,c_fill","Detailed 3D rendering of the Titanic wreck on the ocean floor, showing significant decay and marine growth.
"
"https://media.cnn.com/api/v1/images/stellar/prod/clean-00-00-25-02-still003.jpg?c=16x9&q=h_270,w_480,c_fill","Man and woman enjoy a city-view restaurant, seated at a modern table.
"
"https://media.cnn.com/api/v1/images/stellar/prod/0149362-caprese-tartlets-s4x3.jpg?c=16x9&q=h_438,w_780,c_fill","Six miniature bread bowls filled with Caprese salad (mozzarella, tomato, basil) on a platter.
"
"https://media.cnn.com/api/v1/images/stellar/prod/qk413-tomato-and-feta-salad-s4x3-20240820170056362.jpg?c=16x9&q=h_438,w_780,c_fill","Colorful heirloom tomato and feta salad on an oval platter, dressed with balsamic glaze and garnished with red onion and herbs.
"
"https://media.cnn.com/api/v1/images/stellar/prod/fieldstone-publishing-red-trillium-hgtv.jpg?c=16x9&q=h_438,w_780,c_fill","Vibrant crimson-pink trillium flower with lime-green leaves, sharply in focus against a blurred green background.
"
"https://media.cnn.com/api/v1/images/stellar/prod/ap25100508580396.jpg?c=16x9&q=h_438,w_780,c_fill","Golfer Nick Dunlap takes a shot from the pine straw at the Masters Tournament.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209081471.jpg?c=16x9&q=h_144,w_256,c_fill","Rory McIlroy's powerful backswing during the second round of the 2025 Masters Tournament.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209579595.jpg?c=16x9&q=h_144,w_256,c_fill","Golfer Jose Luis Ballester's powerful backswing during the 2025 Masters Tournament.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1266858242.jpg?c=16x9&q=h_438,w_780,c_fill","Person working at a cluttered wooden desk, typing on a laptop displaying charts.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1708106024.jpg?c=16x9&q=h_144,w_256,c_fill","Close-up of numerous small stacks of banded US dollar bills arranged in an offset grid pattern against a bright yellow background.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1215346013.jpg?c=16x9&q=h_144,w_256,c_fill","Person working from home, using smartphone and laptop at a desk with plants and a second monitor.
"
"https://media.cnn.com/api/v1/images/stellar/prod/01-ap25100310767093.JPG?c=16x9&q=h_438,w_780,c_fill","Nighttime rescue operation at Santo Domingo's Jet Set nightclub after a building collapse.  Rescue workers in bright vests use heavy machinery to search for survivors amidst rubble.
"
"https://media.cnn.com/api/v1/images/stellar/prod/00-ap17121525652542.jpg?c=16x9&q=h_438,w_780,c_fill","Close-up of Willem Dafoe, pensively seated on a wooden pew.
"
"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_438,w_780,c_fill","Kingfisher perched on wood, holding a fish.
"
"https://media.cnn.com/api/v1/images/stellar/prod/18-17-15-3-28-25-wk2-2025-03-29t074743z-1378822136-25796176-rtrmadp-3-basketball-ncaa-jpg.jpg?c=16x9&q=h_438,w_780,c_fill","Coen Carr (55) dunking for Michigan State against Ole Miss in the NCAA tournament.
"
"https://media.cnn.com/api/v1/images/stellar/prod/cnn-games-card-puzzle.jpg?c=16x9&q=h_270,w_480,c_fill","Abstract logo: two overlapping teal squares with inner semi-circles, suggesting connection.
"
"https://media.cnn.com/api/v1/images/stellar/prod/cnn-games-card-sudoblock.jpg?c=16x9&q=h_270,w_480,c_fill","Taskade logo: abstract, light blue design of interconnected white geometric shapes.
"
"https://media.cnn.com/api/v1/images/stellar/prod/cnn-games-card-crossword.jpg?c=16x9&q=h_270,w_480,c_fill","Stylized plus sign logo on yellow-gold background;  squares vary in shades of orange.
"
"https://media.cnn.com/api/v1/images/stellar/prod/cnn-games-card-02.jpg?c=16x9&q=h_270,w_480,c_fill","Cartoon person wearing headphones plays diverse mobile puzzle games: Sudoku, jigsaw, and more.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2208864571.jpg?c=16x9&q=h_438,w_780,c_fill","Close-up of Formula 1 driver Carlos Sainz Jr. at a press conference, wearing a blue Kraken cap and Gulf-logo shirt.
"
"https://www.cnn.com/wbdotp/consent/3d9a6f21-8e47-43f8-8d58-d86150f3e92b/0195f3ba-6603-7128-a578-04165ae93e2f/logos/9651e1f6-c35b-4377-be7f-5a0c93f0ecb8/fd2c628a-153d-49d4-b7b4-92a834c64b28/507420f5-a79f-4038-baea-bb890032307c/CNN_logo.png","CNN logo: stylized white lettering on a red background.
"
"https://www.cnn.com/wbdotp/consent/3d9a6f21-8e47-43f8-8d58-d86150f3e92b/0195f3ba-6603-7128-a578-04165ae93e2f/logos/static/powered_by_logo.svg",""
