image_link,generated_output
https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x88520,"Allied Center of Kansas logo: dark blue ""ALLIEDCENTER"" over smaller ""OF KANSAS,""  with a light blue abstract graphic.
"
https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x88520,"Allied Center of Kansas logo: dark blue ""ALLIEDCENTER"" over smaller ""OF KANSAS,""  with a light blue abstract graphic.
"
https://lied.ku.edu/wp-content/uploads/2024/04/Prairie-Land-Insurance-logo-wht.png,"Premier Insurance logo: a stylized gray ""P"" shape, representing a shield or document, with ""INSURANCE"" below.
"
https://lied.ku.edu/wp-content/uploads/2017/04/School-of-Music-wht.png,"Blank white space.
"
https://lied.ku.edu/wp-content/uploads/2021/07/SSC-logo-wht-1.png,"SSC CPAS + Advisors logo: stylized ""S"" in a circle, ""SSC"" in bold sans-serif font, ""CPAS + Advisors"" below.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-logo.png,"Alt text: A plain white image.
"
https://lied.ku.edu/wp-content/uploads/2022/04/Presbyterian-Manor-logo-horz-wht.png,"Blank white image.
"
https://lied.ku.edu/wp-content/uploads/2023/04/KPR-2023-white.png,"Kansas Public Radio logo: stylized K, P, and R with sunflower graphic.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-remy-le-bouef-feature.jpg?x88520,"Remy Le Boeuf, alto saxophonist, highlighted against a blurred KU Jazz Ensemble.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-blind-boys-2025-feature2.jpg?x88520,"Stylish quintet:  A woman vocalist in a pink skirt and leather jacket with four men in red brocade jackets.  Promotional photo.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-jiji-guitar-feature.jpg?x88520,"Young woman with dark hair, seated cross-legged, holding a classical guitar against a pink background.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-digging-roots-feature.jpg?x88520,"Portrait of Digging Roots, a musical duo (man and woman), posing against a white background.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-hadestown-feature2.jpg?x88520,"Hadestown Broadway promotional image:  Bold title with red ""TOWN,"" a hand holding a red carnation against a dark background.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-feature.jpg?x88520,"Two dancers, a man and woman, in a tender moment during a contemporary dance performance.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x88520,"Medium shot of a man in a dark shirt, arms folded, sitting in a cafe chair.  He looks directly at the camera.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x88520,"Portrait of Sullivan Fortner, a dark-skinned man with a beard, sitting in a cafe chair.
"
https://lied.ku.edu/wp-content/uploads/2023/06/2425-cher-show-feature.jpg?x88520,"Stylized ""The Cher Show"" logo featuring three retro portraits of Cher; a new musical.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-moth-2025-feature.jpg?x88520,"Promotional image for ""The Moth"" theatrical production: a man with a microphone, a musician playing a string instrument, and a large stylized moth graphic.
"
https://lied.ku.edu/wp-content/uploads/2024/04/2425-black-violin-2025-feature2.jpg?x88520,"Close-up of two Black men playing string instruments; one holds a violin, the other a viola.  Dramatic lighting, dark background.
"
https://lied.ku.edu/wp-content/uploads/2024/05/2425-Derek-web.jpg?x88520,"Headshot of Dr. David Tse, a man in a suit and tie.
"
https://lied.ku.edu/wp-content/uploads/2019/05/fotl-horz-blue.png?x88520,"Friends of the Lied Center of Kansas logo: blue flame design beside text ""FRIENDS OF THE LIED"" in varying shades of blue.
"
https://lied.ku.edu/wp-content/uploads/2024/05/2425-Mailer-cover-660x440-1-300x200.png?x88520,"Lied Center 2024-2025 season collage:  ""Dear Evan Hansen,"" ""Hadestown,"" ""Pretty Woman,"" diverse musical acts & acrobatic performance.
"
https://lied.ku.edu/wp-content/uploads/2018/08/beyond-the-stage-hero-2-e1533308236651-300x148.jpg?x88520,"Promotional graphic: Dancers in a darkened theater, text ""beyond the STAGE"" and ""ATTEND, EXPLORE, PARTICIPATE, CREATE"".
"
https://lied.ku.edu/wp-content/uploads/2024/05/beckmeisters-gray.png?x88520,"BECKMEISTERS logo: three gray mountain peaks forming a house with a window, above the company name in white.
"
https://lied.ku.edu/wp-content/uploads/2021/12/BHE-Ready-gray.png?x88520,"Black Hills Energy logo: stylized ""BH"" with hill graphic, ""Black Hills Energy"" and ""Ready"" below.
"
https://lied.ku.edu/wp-content/uploads/2017/04/Bridge-Haven-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2017/04/Cherry-Hill-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2014/10/Edmond-Duncan-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2016/05/Steve-Edmonds-only-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2018/04/ENT-logo-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2015/04/jack-gaumnitz.png?x88520,"Jack & Jan Gaumnitz logo:  stacked serif typeface, gray on white.
"
https://lied.ku.edu/wp-content/uploads/2022/05/Hertzog-gray.png?x88520,"Alt text: ""Steven & Ann Hertzog, Lawrence Business Magazine""
"
https://lied.ku.edu/wp-content/uploads/2021/08/2122-Hiebert-gray.png?x88520,"Dave & Gunda Hiebert nameplate.
"
https://lied.ku.edu/wp-content/uploads/2015/03/hyvee.png?x88520,"Hy-Vee logo: gray, sans-serif typeface with ""EMPLOYEE OWNED"" tagline.
"
https://lied.ku.edu/wp-content/uploads/2022/05/BudSheryl-Jacobs-gray.png?x88520,"Bud & Sheryl JACOBS logo
"
https://lied.ku.edu/wp-content/uploads/2023/04/KPR-2023-gray.png?x88520,"Kansas Public Radio logo: stacked gray squares with white lettering (K, P, stylized sun, R) beside vertically stacked ""KANSAS PUBLIC RADIO"" in gray.
"
https://lied.ku.edu/wp-content/uploads/2024/05/kastl-gray.png?x88520,"KASTL PLUMBING logo: Gray text stacked ""KASTL"" over ""PLUMBING,"" alongside a vintage-style cartoon of a plumber carrying tools.
"
https://lied.ku.edu/wp-content/uploads/2024/05/Landmark-gray3.png?x88520,"Landmark National Bank logo: gray triangle with inner circle, text below.
"
https://lied.ku.edu/wp-content/uploads/2020/09/Presyterian-Manor-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2022/05/LMH-Health-gray.png?x88520,
https://lied.ku.edu/wp-content/uploads/2015/03/marlan1-e1425594920871.png?x88520,
