"image_link","generated_output"
"https://media.cnn.com/api/v1/images/stellar/prod/ap25098577604664.jpg?c=16x9&q=h_720,w_1280,c_fill","Nighttime long shot of a bustling Nanjing container port: numerous stacked containers, cranes, and vehicles under bright lights.
"
"https://media.cnn.com/api/v1/images/stellar/prod/warner-ustr-hearing-thumb-v2.png?c=16x9&q=h_270,w_480,c_fill","Two men in suits, one visibly agitated, the other skeptical, speak at a formal hearing.  Hon. Jamieson Greer's nameplate is visible.
"
"https://media.cnn.com/api/v1/images/stellar/prod/tariffs-math.jpg?c=16x9&q=h_270,w_480,c_fill","Handwritten equation: Δτᵢ = (xᵢ - mᵢ) / (ε * φ * mᵢ), with ε * φ circled and annotated.
"
"https://media.cnn.com/api/v1/images/stellar/prod/ivescomp.jpg?c=16x9&q=h_270,w_480,c_fill","Martin Lewis, superimposed over various colorful iPhones.
"
"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2209066316.jpg?c=16x9&q=h_720,w_1280,c_fill","Stockbroker at NYSE, back to camera, pointing at multiple screens displaying stock market data.  GTS logo visible on shirt.
"
"https://media.cnn.com/api/v1/images/stellar/prod/c-gettyimages-2205529580.jpg?c=16x9&q=h_720,w_1280,c_fill","Close-up of the Supreme Court's classical facade:  ornate frieze depicting figures, fluted columns, and partially visible inscription ""Justice the Guardian of..."".
"
"https://media.cnn.com/api/v1/images/stellar/prod/oliverio-20250331-04.jpg?c=16x9&q=h_144,w_256,c_fill","Close-up portrait of Jayne Foo, a young woman with dark hair and extensive shoulder tattoos, wearing a halter top.
"
"https://media.cnn.com/api/v1/images/stellar/prod/pej1yw.jpg?c=16x9&q=h_144,w_256,c_fill","US and Canadian flags fly together against a blue sky, with snow-capped mountains in the background.
"
"https://media.cnn.com/api/v1/images/stellar/prod/111796-pa-tree-falls-cl-00-00-11-07-still001.jpg?c=16x9&q=h_144,w_256,c_fill","Fallen tree blocking road, partially in parking lot; cars, including white SUV, navigating around it.
"
"https://media.cnn.com/api/v1/images/stellar/prod/ap25098006969157.jpg?c=16x9&q=h_438,w_780,c_fill","Flooded Frankfort, KY neighborhood: Partially submerged car near houses.
"
