image_link,generated_output
https://union.ku.edu/sites/union/files/styles/21_9_placeholder_/public/images/2024/Resized%20photos%20for%20Union%20Website%20-%20HEADErS%20.png?h=44ff73cc&itok=1_747mK9,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/DSC_6028.jpg?h=a1e1a043&itok=e6WjvOhE,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/%20springtulips_kumu_12_S24.jpg?h=a1e1a043&itok=UleXyfSJ,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%282%29.png?h=54e63a21&itok=iuznr4s6,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%283%29.png?h=54e63a21&itok=R8BkMvPv,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%284%29.png?h=54e63a21&itok=wfGIjsdh,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%285%29.png?h=54e63a21&itok=Gk-lZQnZ,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%287%29.png?h=54e63a21&itok=il2lYhEC,
https://union.ku.edu/sites/union/files/styles/16_9_placeholder_/public/images/2024/Resized%20photos%20for%20website%20%286%29.png?h=54e63a21&itok=3naV6hmx,
https://news-archive-assets.ku.edu/data/ce/a0/01j5bsaw6a6fka1dgznqz7qa37.jpg,There are many people posing for a picture on the stage.
https://news-archive-assets.ku.edu/data/98/31/01j5bsaxdbxwdpd70r1dh1k6j4.png,There are many people that are sitting in a room together.
https://news-archive-assets.ku.edu/data/8c/14/01j5bsaw3bgk3yn32f891zr9qx.png,The KU Memorial Union has a flyer for the arts and crafts fair.
https://news-archive-assets.ku.edu/data/9a/f0/01j5bsaw0dv393s654hgxmep93.png,The person is standing in line to buy a handbag.
https://localist-images.azureedge.net/photos/48509653156484/square_300/28aa4bfed9ce893ef2677463eb82ae8fbe3cb0c9.jpg,
https://localist-images.azureedge.net/photos/47288327677676/square_300/4ac72af75846e349c02b1e224c7d3cf8a983a287.jpg,
https://localist-images.azureedge.net/photos/48666583369800/square_300/6fa45e637683a5c1e36474954b8a79a00ccfde75.jpg,
https://localist-images.azureedge.net/photos/48596471891872/square_300/f81a0578700e96f0edb2bcc353cf2f272e33ceb4.jpg,
https://localist-images.azureedge.net/photos/46861987795402/square_300/f53e6013a3481777ea43072e38095bd1249a3d68.jpg,
https://localist-images.azureedge.net/photos/48614197754221/square_300/b6886b0e19e1d6c2ffc5ec344d924e4e32810e4b.jpg,
https://d3e1o4bcbhmj8g.cloudfront.net/assets/platforms/default/about/widget_footer.png,The localist event content logo is a logo for the Union of Faculty Affairs.
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_White.png,"The University of Kansas, Lawrence, Kansas, is the location of the Jayhawk Bookstore."
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_Blue.png,"The University of Kansas is located in Lawrence, Kansas."
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/KSDegreeStats_Logo_Std.png,There is a picture of a man that is playing a game of tennis at the University of Kansas.
https://union.ku.edu/libraries/ku-web-styleguide/images/logos/ks-ds-img.png,The logo for the University of Kansas is KU.
