image_link,generated_output
https://lied.ku.edu/wp-content/uploads/2017/04/Cherry-Hill-gray.png?x75479,The cherry hill properties logo is a trademark of cherry hill properties.
https://lied.ku.edu/wp-content/uploads/2014/10/Edmond-Duncan-gray.png?x75479,"The logo for Edmonds Duncan, a registered investment advisory, is shown in the image."
https://lied.ku.edu/wp-content/uploads/2016/05/Steve-Edmonds-only-gray.png?x75479,Steve and Chris Edmonds are pictured in a park.
https://lied.ku.edu/wp-content/uploads/2018/04/ENT-logo-gray.png?x75479,The white sign is a white sign with a black and white logo.
https://lied.ku.edu/wp-content/uploads/2015/04/jack-gaumnitz.png?x75479,The logo is a white background with a black and white logo.
https://lied.ku.edu/wp-content/uploads/2022/05/Hertzog-gray.png?x75479,"Steven and Ann Hertzog Law Office is a law office in the city of San Diego, California."
https://lied.ku.edu/wp-content/uploads/2021/08/2122-Hiebert-gray.png?x75479,The logo for the Dave and Gundal Hiebert Foundation is on a bench.
https://lied.ku.edu/wp-content/uploads/2015/03/hyvee.png?x75479,The logo for a company with a white background is shown in the image.
https://lied.ku.edu/wp-content/uploads/2022/05/BudSheryl-Jacobs-gray.png?x75479,The white sign is a white sign with a black and white logo.
https://lied.ku.edu/wp-content/uploads/2023/04/KPR-2023-gray.png?x75479,The logo of Kansas Public Radio is shown in this image.
https://lied.ku.edu/wp-content/uploads/2024/05/kastl-gray.png?x75479,The person is walking with a suitcase and a hose.
https://lied.ku.edu/wp-content/uploads/2024/05/Landmark-gray3.png?x75479,The logo is white and black with a triangle and a circle.
https://lied.ku.edu/wp-content/uploads/2020/09/Presyterian-Manor-gray.png?x75479,The logo of the lawrence presbyterian manor is shown in the image.
https://lied.ku.edu/wp-content/uploads/2022/05/LMH-Health-gray.png?x75479,The logo of LMH Health is a symbol of quality and service.
https://lied.ku.edu/wp-content/uploads/2015/03/marlan1-e1425594920871.png?x75479,"The logo of Marbellan Construction, Inc."
https://lied.ku.edu/wp-content/uploads/2019/05/McDonalds-Dobskis-gray.png?x75479,A close up of a McDonalds logo with a white background.
https://lied.ku.edu/wp-content/uploads/2014/10/Midco-gray.png?x75479,The logo for Midco is shown in the image.
https://lied.ku.edu/wp-content/uploads/2017/04/Natural-Breeze-gray.png?x75479,The logo for a professional remodeler is shown in the image.
https://lied.ku.edu/wp-content/uploads/2022/05/JimVickie-Otten-gray.png?x75479,Dr. Jim and Vicki Otten are a couple.
https://lied.ku.edu/wp-content/uploads/2024/05/PrairieLandInsurance-gray3.png?x75479,The logo of prairie land insurance is shown in the image.
https://lied.ku.edu/wp-content/uploads/2018/04/RCB-Bank-logo-gray.png?x75479,The person is holding a cell phone in their hand.
https://lied.ku.edu/wp-content/uploads/2024/07/SignatureDental-gray3.png?x75479,The clock is a signature dental of lawrence dr eric van beng.
https://lied.ku.edu/wp-content/uploads/2024/05/SSC-gray2.png?x75479,The logo for this business is a close up of a logo for a business that is in the process of being successful.
https://lied.ku.edu/wp-content/uploads/2015/03/studentsenate.png?x75479,The logo is gray and white with a building and wheat.
https://lied.ku.edu/wp-content/uploads/2015/03/truity1-e1425594973304.png?x75479,The logo for the credit union is shown in the image.
https://lied.ku.edu/wp-content/uploads/2018/04/Weinberg-logo-gray.png?x75479,Jeff and Mary Weinberg Jeede Family Foundation is a non-profit organization that provides support to families in need.
RUN_TIMES,[379.50367522239685]
