image_link,generated_output
https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x75479,The logo for the state of Kansas is shown.
https://lied.ku.edu/wp-content/uploads/2015/01/LiedKS-hor-gaea1.png?x75479,The logo for the state of Kansas is shown.
https://lied.ku.edu/wp-content/uploads/2023/04/Landmark-wht.png,The logo of the arafark national bank is a white background.
https://lied.ku.edu/wp-content/plugins/revslider/sr6/assets/assets/dummy.png?x75479,
https://lied.ku.edu/wp-content/plugins/revslider/sr6/assets/assets/dummy.png?x75479,
https://lied.ku.edu/wp-content/plugins/revslider/sr6/assets/assets/dummy.png?x75479,
https://lied.ku.edu/wp-content/plugins/revslider/sr6/assets/assets/dummy.png?x75479,
https://lied.ku.edu/wp-content/uploads/2024/04/2425-mnozil-brass-2025-feature.jpg?x75479,The person in the suit and tie is Mnozil Brass.
https://lied.ku.edu/wp-content/uploads/2024/04/2425-lucy-kaplansky-2025-feature.jpg?x75479,The person is Lucy Kaplan.
https://lied.ku.edu/wp-content/uploads/2024/04/2425-cms-wu-han-feature.jpg?x75479,The Chamber Music Society of Lincoln Center is a non-profit organization that provides music education and performance opportunities for people of all ages.
RUN_TIMES,[91.72424745559692]
