image_link,generated_output
https://eecs.ku.edu/sites/eecs/files/styles/21_9_placeholder_/public/images/hero/EECS%20-%20Hackathon%204.jpg?h=44ff73cc&itok=3wGibaC2,
https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/Virtual%20Reality%20Goggles.jpg?h=00c677a1&itok=NxbGVoHf,
https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/Mason%20Wilde.jpg?h=00c677a1&itok=WUVazJeD,
https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/ElectronicsCloseUp.JPG?h=d443d912&itok=LqEDr1DI,
https://eecs.ku.edu/sites/eecs/files/styles/16_9_placeholder_/public/images/2021/Overhead%20Presentation.jpg?h=00c677a1&itok=ZKiiTCQR,
https://eecs.ku.edu/sites/eecs/files/styles/7_5_placeholder_/public/images/2021/comp-eng-md.jpg?h=ac3bb7ef&itok=m-L-R1-d,
https://eecs.ku.edu/sites/eecs/files/styles/7_5_placeholder_/public/images/2021/Choi%20Lab%20Menager.jpg?h=00c677a1&itok=TnwqTM1q,
https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_White.png,The man is riding a surfboard on the beach.
https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/KUSig_Horz_Web_Blue.png,The University of Kansas is a public research university located in Kansas.
https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/KSDegreeStats_Logo_Std.png,There is a picture of a man that is playing a game of tennis at the University of Kansas.
https://eecs.ku.edu/libraries/ku-web-styleguide/images/logos/ks-ds-img.png,The logo for the University of Kansas is KU.
